id;date;document;explanation;type;value;year
1;2020-02-16;array;Metal auxiliary;INCOME_BANK;13199;38776
2;2020-02-15;deliver Singapore Dollar;open-source Functionality Curve;PAYMENT_CASH;62155;66427
3;2020-02-15;Bridge purple;quantify Credit Card Account;PAYMENT_CASH;14897;63174
4;2020-02-15;digital;Savings Account deposit;PAYMENT_CASH;7129;65983
5;2020-02-15;Investor invoice;white Tools;INCOME_CASH;78983;45672
6;2020-02-15;disintermediate Home Loan Account;Unbranded Wooden Keyboard;PAYMENT_BANK;14721;48465
7;2020-02-16;Phased benchmark;success Bridge;INCOME_CASH;75162;84354
8;2020-02-16;Legacy;Licensed Credit Card Account;PAYMENT_BANK;38055;28770
9;2020-02-15;multimedia;USB Armenian Dram calculating;PAYMENT_BANK;7786;69167
10;2020-02-15;lavender American Samoa;Human;PAYMENT_CASH;73113;51158
